code,Station,Latitude,Longitude,is_junction
BRD,BHANDARA ROAD,21.238512,79.647523,FALSE
KOKA,KOKA,21.263021,79.712409,FALSE
DAO,DAGHORA,21.857535,83.678086,FALSE
HGR,HEMAGIRI,21.876504,83.742815,FALSE
NIR,Nainpur Junction,22.425676,80.108853,TRUE
NCH,NAKACHARI,26.70813334,94.39391294,FALSE
APDJ,ALIPUR DUAR JN,26.523279,89.534048,TRUE
BRE,BHARWARI,25.5591917,81.4918665,FALSE
JTK,Jhitkia,25.626133,88.052972,FALSE
MNJ,MANOHARGANJ,25.524992,81.559075,FALSE
SYWN,SAIYID SARAWAN,25.494982,81.613788,FALSE
MRE,MANAURI,25.470171,81.662491,FALSE
BMU,BAMHRAULI,25.44494,81.741641,FALSE
SFG,SUBEDARGANJ,25.439879,81.789897,FALSE
KLX,KOLAKALUR,16.295186,80.627521,FALSE
CLVR,CHILUVUR,16.379558,80.616908,FALSE
KVR,KOVVUR,17.007084,81.726495,FALSE
GVN,GODAVARI,17.007707,81.77083,FALSE
KJKD,KANJIKODE,10.800919,76.755316,FALSE
SNKR,Sanka,23.52693,86.616164,FALSE
VNK,Binaiki,22.72003,79.902424,FALSE
GCN,Gocharan,22.277738,88.45837,FALSE
SEY,Seoni,22.075431,79.545769,FALSE
SDMD,Sudamdih,23.654478,86.44032,FALSE
BJU,BARAUNI JN,25.461768,85.988748,TRUE
DMO,DAMOH,23.836693,79.432246,FALSE
ADD,ADAS ROAD,22.48662808,73.03469445,FALSE
CLC,Chalala,21.4155588,71.1622425,FALSE
RNO,RANOLI,22.4052521,73.11226621,FALSE
HP,HARIPUR,26.012397,74.024928,FALSE
KUGT,Kumarghat,24.15063031,92.03483312,FALSE
AWB,AURANGABAD,19.859276,75.310646,FALSE
BNL,BEVINAHALU,15.16697376,77.21298975,FALSE
SMNH,SOMNATH,20.896132,70.408254,FALSE
CUPJ,CUDDALORE PORT,11.715119,79.766287,FALSE
PLJ,PALEJ,21.921578,73.072387,FALSE
GOLE,GOLE,25.891938,72.00004,FALSE
TRO,TIRORA,21.415039,79.918035,FALSE
JMG,JAMGA,21.874971,83.564842,FALSE
AHLR,AHALYAPUR,26.468381,83.824844,FALSE
TEL,TENALI JN,16.242409,80.640413,TRUE
TAT,Tummanamgutta,13.707414,78.379263,FALSE
CU,CHAGALLU,16.965077,81.690558,FALSE
PSDA,PASIVEDALA,16.99331,81.700939,FALSE
MBGA,Marwar Bagra,25.208689,72.593761,FALSE
JNE,JANIYANA,25.827638,72.336284,FALSE
SMR,SAMDHARI JN,25.837202,72.573007,TRUE
SUT,SUTLANA,25.970783,72.951414,FALSE
PBR,PORBANDAR,21.643598,69.615506,FALSE
CKVD,Chikkandawadi,14.13792027,76.20256849,FALSE
BHG,Bhaton Ki Gali,27.105646,75.712919,FALSE
HMO,Hanumangarh Town,29.57422055,74.33120188,FALSE
SANR,SARDARNAGAR,26.700859,83.494054,FALSE
GRD,Giridih,24.1822559,86.3146452,FALSE
CC,CHAURI CHAURA,26.673882,83.545894,FALSE
KMPT,KOMATIPALLI,18.0235473,79.51589222,FALSE
HSP,HASANPARTHI RD,18.078262,79.50185,FALSE
GGY,Gagariya,25.741083,70.734877,FALSE
NNPR,NONAPAR,26.353209,83.969786,FALSE
MW,MAIRWA,26.240309,84.151979,FALSE
KUY,TIRUPPUR KULIPALAYAM,11.14402792,77.38931359,FALSE
PLL,PARLI,10.800415,76.559421,FALSE
AGTL,Agartala,23.792417,91.278481,FALSE
MNY,MANKARAI,10.771526,76.500232,FALSE
LDY,LAKKITI,10.753217,76.434467,FALSE
PLPM,PALAPPURAM,10.75251879,76.39838581,FALSE
OTP,OTTAPPALAM,10.770046,76.377993,FALSE
MNUR,MANNANUR,10.749322,76.323555,FALSE
ZRDE,JIRADEI,26.220819,84.256142,FALSE
SV,SIWAN JN,26.210724,84.359267,TRUE
PCK,PACHRUKHI,26.162628,84.415667,FALSE
DDA,DURAUNDHA JN,26.086973,84.458946,TRUE
CW,CHAINWA,26.022117,84.496496,FALSE
POK,POKRAN,26.930571,71.923129,FALSE
OCH,ODHANIYA CHACHA,26.972848,71.718687,FALSE
EKMA,EKMA,25.967099,84.53637,FALSE
DDP,DAUDPUR,25.90709,84.591425,FALSE
KPS,KOPA SAMHOTA,25.851866,84.652814,FALSE
BTHL,BITHAULI,25.817069,85.29179,FALSE
GB,GAURI BAZAR,26.594934,83.667801,FALSE
BALR,BAITALPUR,26.5526634,83.7385572,FALSE
DEOS,DEORIA SADAR,26.50768117,83.7819591,FALSE
NRA,NUNKHAR,26.425483,83.880179,FALSE
AGMN,Agomoni,26.225947,89.786242,FALSE
BND,BHANDUP,19.14200998,72.93723505,FALSE
ASR,AMRITSAR JN,31.631512,74.858025,TRUE
MUC,MULLURKARA,10.705843,76.271415,FALSE
WKI,WADAKANCHERI,10.648956,76.237041,FALSE
SOG,SURATGARH JN,29.324152,73.907248,TRUE
SNV,Sondad,21.079845,80.094149,FALSE
QMRS,Kayamsar,28.125576,75.000562,FALSE
AYB,Aliyabad,16.878268,75.758306,FALSE
MBF,Munabao,25.742614,70.276543,FALSE
CLDR,Chilikidara,21.243022,85.827112,FALSE
KLYT,Kolayat,27.835319,72.955074,FALSE
CLD,CHALSA JN,26.882215,88.798213,TRUE
CRX,CARRON,26.880279,88.9704,FALSE
ETF,ITARSI F CABIN,22.61521,77.774856,FALSE
CNPI,Chandanpahari,24.404224,86.953082,FALSE
MIG,MIDGHAT,22.828141,77.647526,FALSE
BNU,BANDAKPUR,23.848206,79.575956,FALSE
COD,Chhota Gudha,27.293803,75.599508,FALSE
CHQ,CHOKA,22.864326,77.638968,FALSE
MB,MORADABAD,28.831621,78.765801,FALSE
IRA,ISRANA,29.291379,76.85286,FALSE
KRCA,KARACHIYA YARD,22.380046,73.132981,FALSE
BJW,BAJVA,22.3662226,73.1431251,FALSE
CLN,KOLLIDAM,11.332713,79.718347,FALSE
CNA,CHANDERIYA,24.939558,74.629979,FALSE
CRC,CHARKHARI ROAD,25.307556,79.745653,FALSE
BTT,BHATNI JN,26.381257,83.934035,TRUE
CSZ,Cossimbazar,24.122264,88.266903,FALSE
VRE,VAREDIYA,21.85838,73.048979,FALSE
NIU,NABIPUR,21.807541,73.030592,FALSE
CVJ,CHAVAJ,21.753134,73.010489,FALSE
AKV,ANKLESHWAR JN,21.623889,73.000633,TRUE
CNE,CHANDRANATHPUR,24.984962,92.716658,FALSE
PAO,PANOLI,21.535197,72.978371,FALSE
CNL,CHANDAWAL,25.94654272,73.86881458,FALSE
BFY,BHESANA,25.82438,73.7180903,FALSE
HAT,HATHURAN,21.501091,72.969512,FALSE
COL,Coromandel,12.97518,78.257278,FALSE
KDSD,KUDSAD,21.37682,72.91648,FALSE
SYN,SAYAN,21.317203,72.890287,FALSE
MQP,Makrandpur,28.213407,79.290097,FALSE
GTX,GOTHANGAM,21.294043,72.880104,FALSE
MGK,MULANGUNNATHUKAVU,10.596939,76.207809,FALSE
CNKP,CHANAKYAPURI,28.591905,77.172004,FALSE
URN,UTRAN,21.232602,72.854796,FALSE
ST,SURAT,21.206568,72.840793,FALSE
UDN,UDHNA JN,21.171156,72.851461,TRUE
VRU,VALIVERU,16.188934,80.605456,FALSE
MRPL,MARAMPALLI,16.843925,81.633874,FALSE
NDD,NIDADAVOLU JN,16.898297,81.675504,TRUE
GDM,GUDMA,21.416128,80.287678,FALSE
BEF,BHUPDEOPUR,21.97503504,83.25998102,FALSE
RIG,RAIGARH,21.891289,83.39067,FALSE
KRL,KOTARLIA,21.883182,83.482238,FALSE
CTND,Chettinad,10.160613,78.775924,FALSE
SEPR,SHERPUR,28.919358,78.25287,FALSE
NVS,NAVSARI,20.946851,72.914294,FALSE
JBD,Jalalabad,30.60775,74.268446,FALSE
DDM,DAM DIM,26.859243,88.671333,FALSE
COE,CHITROD,23.417869,70.655356,FALSE
COM,Chomun Samod,27.158223,75.70272,FALSE
DKT,DHULKOT,30.395686,76.787535,FALSE
KUW,KANWAR,25.70365207,81.21464405,FALSE
CDMR,CHANDAULI MJHWR,25.261093,83.267724,FALSE
KGA,KHAGA,25.761853,81.102658,FALSE
